id,value
document,
document.topic_0
document.topic_0.food,0.009409211
document.topic_0.good,0.0070678485
document.topic_0.place,0.006152278
document.topic_0.chicken,0.005073705
document.topic_0.like,0.004915137
document.topic_0.just,0.004802457
document.topic_0.great,0.0047845487
document.topic_0.service,0.004571939
document.topic_0.filipino,0.004461027
document.topic_0.restaurant,0.0043147164
document.topic_1
document.topic_1.chipotle,0.0074813864
document.topic_1.grocery,0.0058024484
document.topic_1.vinegar,0.0057035335
document.topic_1.interested,0.004842975
document.topic_1.tapas,0.0037189026
document.topic_1.indian,0.003374971
document.topic_1.lacked,0.0031038655
document.topic_1.caramel,0.0028427234
document.topic_1.homey,0.0026666191
document.topic_1.draft,0.0024701634
document.topic_2
document.topic_2.valet,0.004074416
document.topic_2.treats,0.0029254162
document.topic_2.sub,0.002068874
document.topic_2.debit,0.0016602498
document.topic_2.catered,0.0016438663
document.topic_2.cucumbers,0.001632456
document.topic_2.regarding,0.001509647
document.topic_2.george,0.0014249823
document.topic_2.messed,0.0013271396
document.topic_2.bus,0.0011658255
document.topic_3
document.topic_3.switch,0.006554282
document.topic_3.ribeye,0.0030563385
document.topic_3.descriptions,0.0023859055
document.topic_3.comments,0.002369737
document.topic_3.fee,0.0019021455
document.topic_3.brick,0.0017934745
document.topic_3.110,0.0017810783
document.topic_3.brew,0.0017342925
document.topic_3.mash,0.0014797571
document.topic_3.surf,0.0013250272
document.topic_4
document.topic_4.gyro,0.011458619
document.topic_4.lamb,0.0075308257
document.topic_4.hummus,0.007397401
document.topic_4.board,0.0061691585
document.topic_4.greek,0.006122721
document.topic_4.corn,0.005394927
document.topic_4.tapas,0.005047201
document.topic_4.opening,0.004778318
document.topic_4.meatballs,0.0047635334
document.topic_4.tonight,0.0044628293
document.topic_5
document.topic_5.great,0.011589149
document.topic_5.food,0.010173926
document.topic_5.place,0.009083425
document.topic_5.kabob,0.006684063
document.topic_5.good,0.0065740016
document.topic_5.wine,0.006226617
document.topic_5.love,0.0059426264
document.topic_5.service,0.005942561
document.topic_5.thai,0.004858936
document.topic_5.atmosphere,0.0045041
document.topic_6
document.topic_6.food,0.0066984
document.topic_6.good,0.005671966
document.topic_6.great,0.005406042
document.topic_6.place,0.005274205
document.topic_6.service,0.0040590386
document.topic_6.wine,0.0038693764
document.topic_6.try,0.0033269813
document.topic_6.delicious,0.003139416
document.topic_6.really,0.003136635
document.topic_6.rice,0.0031299181
document.topic_7
document.topic_7.karaoke,0.007157583
document.topic_7.veg,0.0026923742
document.topic_7.5star,0.002685559
document.topic_7.gf,0.002558884
document.topic_7.spoke,0.0019821534
document.topic_7.hmmm,0.0019047569
document.topic_7.foodie,0.001886553
document.topic_7.gluten,0.0018630874
document.topic_7.improve,0.0017972504
document.topic_7.non,0.0017394773
document.topic_8
document.topic_8.2nd,0.0041627325
document.topic_8.breads,0.0040533715
document.topic_8.32,0.0037681097
document.topic_8.pairings,0.0025827233
document.topic_8.expert,0.0024425858
document.topic_8.america,0.002155779
document.topic_8.musicians,0.0018799392
document.topic_8.select,0.0016996126
document.topic_8.eve,0.0016792081
document.topic_8.sommelier,0.0016313309
document.topic_9
document.topic_9.tapas,0.012365736
document.topic_9.market,0.007978294
document.topic_9.mango,0.0053532957
document.topic_9.hummus,0.0044740783
document.topic_9.panini,0.004214572
document.topic_9.gift,0.003441045
document.topic_9.goods,0.0034154395
document.topic_9.mins,0.003015925
document.topic_9.road,0.0028702696
document.topic_9.dogs,0.002537971